title,price,area,bath,room,tipo,city
"Luxury home in Miami, Miami-Dade",13882000,699.0,7.0,6.0,Luxury home,Miami
"Residential complexes in Miami, Miami-Dade",13882900,642.0,7.0,6.0,Residential complexes,Miami
"Residential complexes in Miami, Miami-Dade",13882900,550.0,6.0,6.0,Residential complexes,Miami
"Residential complexes in Miami, Miami-Dade",13882900,641.0,8.0,6.0,Residential complexes,Miami
"Residential complexes in Miami, Miami-Dade",12957400,780.0,6.0,5.0,Residential complexes,Miami
"Residential complexes in Miami, Miami-Dade",12625000,621.0,4.0,4.0,Residential complexes,Miami
"Residential complexes in Miami, Miami-Dade",12494600,363.0,4.0,3.0,Residential complexes,Miami
"Villa in Miami, Miami-Dade",12448300,403.0,3.0,5.0,Villa,Miami
"Apartment in Miami, Miami-Dade",11939300,776.0,6.0,5.0,Apartment,Miami
"Residential complexes in Miami, Miami-Dade",11985600,929.0,7.0,6.0,Residential complexes,Miami
"Villa in Miami, Miami-Dade",11939300,961.0,7.0,7.0,Villa,Miami
"Villa in Miami, Miami-Dade",11754200,392.0,5.0,6.0,Villa,Miami
"Villa in Miami, Miami-Dade",11754200,668.0,7.0,6.0,Villa,Miami
"Residential complexes in Miami, Miami-Dade",11476500,449.0,6.0,5.0,Residential complexes,Miami
"Villa in Miami, Miami-Dade",11337700,449.0,5.0,5.0,Villa,Miami
"Detached House in Miami, Miami-Dade",11337700,449.0,6.0,5.0,Detached House,Miami
"Villa in Miami, Miami-Dade",11106300,532.0,6.0,5.0,Villa,Miami
"Penthouse in Miami, Miami-Dade",10874900,602.0,8.0,6.0,Penthouse,Miami
"Villa in Miami, Miami-Dade",10180800,885.0,8.0,7.0,Villa,Miami
"Villa in Miami, Miami-Dade",10180800,835.0,8.0,8.0,Villa,Miami
"Townhouse in Miami, Miami-Dade",9713400,571.0,3.0,3.0,Townhouse,Miami
"Residential complexes in Miami, Miami-Dade",9718000,438.0,6.0,5.0,Residential complexes,Miami
"Residential complexes in Miami, Miami-Dade",9718000,439.0,6.0,5.0,Residential complexes,Miami
"Villa in Miami, Miami-Dade",9699500,697.0,8.0,7.0,Villa,Miami
"Detached House in Miami, Miami-Dade",9421900,699.0,7.0,6.0,Detached House,Miami
"Villa in Miami, Miami-Dade",9421900,699.0,6.0,6.0,Villa,Miami
"Luxury home in Miami, Miami-Dade",9255300,329.0,5.0,4.0,Luxury home,Miami
"Residential complexes in Miami, Miami-Dade",9255300,361.0,6.0,4.0,Residential complexes,Miami
"Residential complexes in Miami, Miami-Dade",9255300,361.0,5.0,4.0,Residential complexes,Miami
"Detached House in Miami, Miami-Dade",8792500,504.0,7.0,5.0,Detached House,Miami
"Villa in Miami, Miami-Dade",8792500,504.0,6.0,5.0,Villa,Miami
"Residential complexes in Miami, Miami-Dade",8792500,439.0,6.0,5.0,Residential complexes,Miami
"Villa in Miami, Miami-Dade",8746200,641.0,6.0,6.0,Villa,Miami
"Detached House in Los Angeles, Los Angeles County",62935800,1858.0,13.0,9.0,Detached House,Los Angeles
"Luxury home in Los Angeles, Los Angeles County",54606100,3809.0,21.0,8.0,Luxury home,Los Angeles
"Luxury home in Los Angeles, Los Angeles County",51829500,3126.0,27.0,11.0,Luxury home,Los Angeles
"Detached House in Beverly Hills, Los Angeles County",41648700,788.0,9.0,10.0,Detached House,Los Angeles
"Detached House in Malibu, Los Angeles County",37021100,472.0,5.0,4.0,Detached House,Los Angeles
"Detached House in Bradbury, Los Angeles County",35632800,1356.0,15.0,8.0,Detached House,Los Angeles
"Detached House in Pacific Palisades, Los Angeles County",34707300,871.0,8.0,5.0,Detached House,Los Angeles
"Luxury home in Los Angeles, Los Angeles County",32393400,1.0,11.0,7.0,Luxury home,Los Angeles
"Detached House in Malibu, Los Angeles County",24984600,1340.0,9.0,6.0,Detached House,Los Angeles
"Detached House in West Los Angeles, Los Angeles County",24526500,1180.0,9.0,5.0,Detached House,Los Angeles
"Luxury home in Malibu, Los Angeles County",24526500,710.0,6.0,5.0,Luxury home,Los Angeles
"Apartment in Malibu Beach, Los Angeles County",23138200,557.0,7.0,6.0,Apartment,Los Angeles
"Rural or Farmhouse in Los Angeles, Los Angeles County",23138200,627.0,6.0,5.0,Rural or Farmhouse,Los Angeles
"Detached House in Malibu, Los Angeles County",22906800,310.0,5.0,5.0,Detached House,Los Angeles
"Detached House in Beverly Hills, Los Angeles County",22211700,1055.0,13.0,7.0,Detached House,Los Angeles
"Detached House in Chatsworth, Los Angeles County",19898800,758.0,9.0,7.0,Detached House,Los Angeles
